course,Skills_Text
Reducing Gun Violence in America: Evidence for Change,r
Microsoft Windows Defender and Firewall for Beginners,r
Algorithms for Battery Management Systems,"c, r"
Innovative Teaching with ChatGPT,r
Data Analysis with Python,"c, data visualization, machine learning, python, r"
International Women's Health and Human Rights,r
Business English Communication Skills,"c, data visualization, r"
Cryptography I,"c, r"
Bayesian Statistics,"c, machine learning, r"
Data Visualization and Dashboards with Excel and Cognos,"c, data visualization, r"
Software Testing and Automation,"c, css, html, java, r, software engineering, web development"
AWS Cloud Practitioner Essentials,"c, cloud computing, r"
Google UX Design,"c, r"
Everyday Excel,"c, data visualization, r"
Bioinformatics,"c, python, r"
"Food Sustainability, Mindful Eating, and Healthy Cooking",r
Calculus for Machine Learning and Data Science,"c, machine learning, neural networks, r"
Work Smarter with Microsoft Word,"c, data visualization, r"
Data Science Methodology,"c, data science, machine learning, python, r"
Google IT Support,"c, cloud computing, databases, linux, r"
Power Electronics,r
Photography Basics and Beyond: From Smartphone to DSLR,"c, r"
Probabilistic Graphical Models,"c, machine learning, r"
Sequence Models,"c, deep learning, machine learning, neural networks, python, r, tensorflow"
Business Value and Project Management,"c, r"
Advanced Data Science with IBM,"c, cloud computing, deep learning, feature engineering, machine learning, neural networks, python, r, sql, tensorflow"
Create High-Fidelity Designs and Prototypes in Figma,"c, r"
Primeros Auxilios Psicológicos (PAP),r
AI & Law,"c, machine learning, r"
The Singer Songwriter,"c, r"
Business Statistics and Analysis,"c, data visualization, r"
Decentralized Finance (DeFi): The Future of Finance,"c, r"
Learning How to Learn: Powerful mental tools to help you master tough subjects,"c, r"
Google UX Design (PT),"c, r"
Talent Acquisition,"c, r"
Supply Chain Analytics,"c, data science, r"
Human Anatomy and Medical Terminology Fundamentals,r
Customer Analytics,"c, r"
Creating Business Value with Data and Looker,"c, cloud computing, data visualization, databases, machine learning, r, sql"
English for Career Development,"c, r"
Introduction to Front-End Development,"c, css, html, r, web development"
Web Applications for Everybody,"c, css, databases, html, java, javascript, r, sql, web development"
MLOps | Machine Learning Operations,"azure, c, cloud computing, machine learning, python, r"
SQL for Data Science,"c, databases, r, sql"
Data Science Foundations: Statistical Inference,"c, r"
Google サイバーセキュリティ,r
Google Project Management (PT),"agile software development, c, r"
Python Project for Data Science,"c, data science, python, r"
Music Production,"c, r"
"GIS, Mapping, and Spatial Analysis","c, data visualization, databases, r"
International Humanitarian Law in Theory and Practice,r
Transforming the Fashion Business,"c, r"
Biostatistics in Public Health,"c, data visualization, r"
Animal Behaviour and Welfare,r
Foundational Finance for Strategic Decision Making,"c, r"
Statistical Analysis with R for Public Health,"c, r"
Renewable Energy,"c, feature engineering, r"
"TESOL Certificate, Part 2: Teach English Now!",r
Business Analytics,"c, data visualization, machine learning, r"
Fundamentals of Accounting,"c, r"
User Experience Research and Design,"c, r"
Goodwill® Career Coach and Navigator,"c, r"
Futures Thinking,"c, r"
Foundations of Data Structures and Algorithms,"c, python, r"
School Health for Children and Adolescents,r
First Step Korean,"c, r"
Réussir le Changement,"c, r"
Self-Driving Cars,"c, computer vision, machine learning, neural networks, python, r, software engineering"
Assess for Success: Marketing Analytics and Measurement,"git, r"
Neuroscience and Neuroimaging,"c, data visualization, r"
Impact Measurement & Management for the SDGs,"c, r"
Introduction to Data Engineering,"c, data science, databases, r, sql"
Cancer Biology,r
Design and Interpretation of Clinical Trials,r
Digital Product Management: Modern Fundamentals,"c, r"
An Introduction to Consumer Neuroscience & Neuromarketing,"c, r"
"Strategic Leadership: Impact, Change, and Decision-Making","c, r"
Fundamentals of Graphic Design,"c, r"
Healthcare IT Support,"c, r"
Social Psychology,r
Build Dynamic User Interfaces (UI) for Websites,"c, r, web development"
Getting Started with Power BI Desktop,"c, data visualization, power bi, r"
Six Sigma Green Belt,"c, data visualization, r"
Probability & Statistics for Machine Learning & Data Science,"c, r"
FPGA Design for Embedded Systems,"c, r"
AWS Cloud Technical Essentials,"c, cloud computing, r"
Market Research,"c, data visualization, git, r"
Forensic Accounting and Fraud Examination,"c, r"
Coding for Everyone: C and C++,"c, c++, r"
Overcoming Dyslexia,r
