Intern ID,Top Cluster,Top Cluster Role,Missing Skills,Recommended Courses
intern_0162,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0163,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Data Science, Google Data Analytics, Google Project Management:"
intern_0164,3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)","aws, gcp",No relevant courses found
intern_0165,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0166,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0167,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0168,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0169,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Using Python to Access Web Data, Google Data Analytics, Google Project Management:"
intern_0170,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0171,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics, Google Project Management:, Google Digital Marketing & E-commerce"
intern_0172,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0173,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0174,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Introduction to Front-End Development, Google Data Analytics, Google Project Management:"
intern_0175,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0176,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0177,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0178,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0179,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Cloud Application Development Foundations, Google Data Analytics, Google Project Management:"
intern_0180,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0181,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
